,country_long,kw_thermal,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
22041,United States of America,,Calvert Cliffs Nuclear Power Plant,USA0006011,1828.7,38.4344,-76.4417,1975.996008,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22168,United States of America,,Catawba,USA0006036,2410.2,35.0514,-81.0694,1985.5,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22425,United States of America,,Clinton Power Station,USA0000204,1138.3,40.1719,-88.8339,1987,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22501,United States of America,,Columbia Generating Station,USA0000371,1200,46.4711,-119.3339,1985,Energy Northwest,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22511,United States of America,,Comanche Peak,USA0006145,2430,32.2984,-97.7855,1991.5,Luminant Generation Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22552,United States of America,,Cooper Nuclear Station,USA0008036,801,40.3628,-95.6408,1974,Nebraska Public Power District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22810,United States of America,,Davis Besse,USA0006149,925.2,41.5967,-83.0861,1977,FirstEnergy Nuclear Operating Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22925,United States of America,,Diablo Canyon,USA0006099,2323,35.2115,-120.8555,1985.501076,Pacific Gas & Electric Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
22983,United States of America,,Donald C Cook,USA0006000,2285.3,41.9756,-86.5652,1976.487726,Indiana Michigan Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
23009,United States of America,,Dresden Generating Station,USA0000869,2018.6,41.39,-88.27,1970.5,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
23029,United States of America,,Duane Arnold Energy Center,USA0001060,679.5,42.1011,-91.7781,1975,NextEra Energy Duane Arnold LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
23165,United States of America,,Edwin I Hatch,USA0006051,1721.8,31.9342,-82.3447,1977.506621,Georgia Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
23414,United States of America,,Fermi,USA0001729,1281,41.9631,-83.2581,1986.900859,DTE Electric Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
23910,United States of America,,Grand Gulf,USA0006072,1440,32.0081,-91.0478,1985,System Energy Resources  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
24053,United States of America,,H B Robinson,USA0003251,768.6,34.4017,-80.1589,1971,Duke Energy Progress - (NC),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
24147,United States of America,,Harris,USA0006015,950.9,35.6334,-78.9556,1987,Duke Energy Progress - (NC),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
24525,United States of America,,Indian Point 2,USA0002497,1299,41.2706,-73.9527,1973,Entergy Nuclear Indian Point 2,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
24526,United States of America,,Indian Point 3,USA0008907,1012,41.2706,-73.9526,1976,Entergy Nuclear Indian Point 3,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
24683,United States of America,,James A Fitzpatrick,USA0006110,883.3,43.5214,-76.4084,1976,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
24767,United States of America,,Joseph M Farley,USA0006001,1776.4,31.2231,-85.1116,1979.5,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
25010,United States of America,,LaSalle Generating Station,USA0006026,2340,41.2455,-88.6691,1984,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
25193,United States of America,,Limerick,USA0006105,2277,40.2243,-75.5874,1988,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
25586,United States of America,,McGuire,USA0006038,2440.6,35.4331,-80.9486,1982.5,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
25758,United States of America,,Millstone,USA0000566,2162.9,41.3107,-72.1677,1981.793148,Dominion Energy Nuclear Conn Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
25865,United States of America,,Monticello Nuclear Facility,USA0001922,685,45.3338,-93.8493,1971,Northern States Power Co - Minnesota,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26186,United States of America,,Nine Mile Point Nuclear Station,USA0002589,1901.1,43.5211,-76.41,1981.260902,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26220,United States of America,,North Anna,USA0006168,1960.4,38.06,-77.7897,1979.504336,Virginia Electric & Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26356,United States of America,,Oconee,USA0003265,2666.7,34.7939,-82.8986,1974.002475,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26527,United States of America,,Oyster Creek,USA0002388,550,39.8143,-74.2062,1970,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26565,United States of America,,PSEG Hope Creek Generating Station,USA0006118,1290.7,39.4666,-75.5377,1987,PSEG Nuclear LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26568,United States of America,,PSEG Salem Generating Station,USA0002410,2381.8,39.4625,-75.5358,1978.859602,PSEG Nuclear LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26593,United States of America,,Palisades,USA0001715,811.8,42.323,-86.3146,1972,Entergy Nuclear Palisades LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26603,United States of America,,Palo Verde,USA0006008,4209.6,33.3881,-112.8617,1986.666667,Arizona Public Service Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26675,United States of America,,Peach Bottom,USA0003166,2784.6,39.7589,-76.2687,1974.494505,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26724,United States of America,,Perry,USA0006020,1311.6,41.8006,-81.1439,1987,FirstEnergy Nuclear Operating Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26767,United States of America,,Pilgrim Nuclear Power Station,USA0001590,670,41.9438,-70.578,1973,Entergy Nuclear Generation Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26866,United States of America,,Point Beach Nuclear Plant,USA0004046,1311,44.2806,-87.5369,1971.452326,NextEra Energy Point Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
26941,United States of America,,Prairie Island,USA0001925,1186.2,44.622,-92.6333,1974,Northern States Power Co - Minnesota,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
27014,United States of America,,Quad Cities Generating Station,USA0000880,2018.6,41.7261,-90.3103,1973,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
27039,United States of America,,R E Ginna Nuclear Power Plant,USA0006122,614,43.2777,-77.3099,1970,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
27252,United States of America,,River Bend,USA0006462,1035.9,30.757,-91.3327,1986,Entergy Louisiana LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
27664,United States of America,,Seabrook,USA0006115,1242,42.8992,-70.8489,1990,NextEra Energy Seabrook LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
27704,United States of America,,Sequoyah,USA0006152,2441,35.2267,-85.0917,1981.5,Tennessee Valley Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
28016,United States of America,,South Texas Project,USA0006251,2708.6,28.795,-96.0481,1988.5,STP Nuclear Operating Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
28119,United States of America,,St Lucie,USA0006045,2160,27.3486,-80.2464,1979.5,Florida Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
28324,United States of America,,Surry,USA0003806,1695,37.1661,-76.6986,1973,Virginia Electric & Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
28412,United States of America,,TalenEnergy Susquehanna,USA0006103,2596,41.0919,-76.1462,1984,TalenEnergy Susquehanna LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
28651,United States of America,,Turkey Point,USA0000621,2861.2,25.4356,-80.3308,1987.544946,Florida Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
28795,United States of America,,V C Summer,USA0006127,1029.6,34.2983,-81.3153,1984,South Carolina Electric&Gas Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
28916,United States of America,,Vogtle,USA0000649,2300,33.1427,-81.7625,1988,Georgia Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
29080,United States of America,,Waterford 3,USA0004270,1199.8,29.9953,-90.4716,1985,Entergy Louisiana LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
29098,United States of America,,Watts Bar Nuclear Plant,USA0007722,2539.8,35.6021,-84.7895,2006,Tennessee Valley Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
29423,United States of America,,Wolf Creek Generating Station,USA0000210,1267.7,38.2393,-95.6898,1985,Wolf Creek Nuclear Optg Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017
